번호, 제목, 등록일
92,5월 6일 임시공휴일 휴강 안내,2016-05-03
93,공학교육인증 전문프로그램(ABEEK) 신청 및 포기 안내,2016-05-09
94,2016년 국제캠퍼스 예비군기본훈련 안내,2016-05-09
95,[장학] 엡손글로벌리더장학금 장학생 선발 안내,2016-05-09
96,[장학] 2016학년도 1학기 장학팀 우정장학금 신청 안내,2016-05-09
97,5월 18일 개교기념일 휴강 안내,2016-05-10
98,Curiosity Project Team & IBM KOREA와 함께하는 해외진출 / 다국적기...,2016-05-10
99,제3회 경희사랑 한마음 걷기 대회 개최 ,2016-05-12
100,2016 PlayX4(플레이엑스포) 컨퍼런스,2016-05-16
101,2016 코오롱그룹 W인턴십,2016-05-17
102,2016년 삼성드림클래스 여름캠프 대학생강사 선발 관련 협조 ...,2016-05-17
103,2016년 삼성드림클래스 여름캠프 대학생강사 선발,2016-05-17
104,[종료] [2016학년도 전자정보대학 대동제] 생수 무료배부 안내,2016-05-23
105,2016학년도 봄대동제 실시 안내,2016-05-23
106,[서울어코드] 해외 교육프로그램(퍼듀대) 학생 선발 안내,2016-05-23
107,삼성 대학생 프로그래밍 경진대회(SCPC),2016-05-23
108,제3기 핀테크지원센터 Univ. Fintecher 기자단 모집,2016-05-23
109,2016 하계방학 현장연수활동(인턴쉽) 신청 안내 ,2016-05-24
110, 2016학년도 봄대동제 기간 학생통학 및 통근버스 탑승위치 ...,2016-05-25
111,2016학년도 1학기 강의평가 시행 안내,2016-05-25
112,해외여행 시 학생 신변안전 강화,2016-05-26
113,단과대학별 졸업능력인증 신청(대체/면제) 안내,2016-05-26
114,[장학] 2016학년도 2학기 교내장학금 신청 안내,2016-06-02
115,[장학] 2016년 2학기 1차 국가장학금 신청 안내,2016-06-02
116,PHILIPS HUE Day 공모전,2016-06-02
117,2016학년도 학사일정 변경 안내,2016-06-09
118,2016 공학교육인증 우대 기업 채용 및 기업설명회 개최,2016-06-14
119,2016 하계 해외전공연수프로그램 신청 안내,2016-06-17
120,[기상청] 2016 날씨 빅데이터 콘테스트 개최 ,2016-06-21
121,?2016 이공계 대학생 오픈챌린지 운영 사업 참여 학생? 모집 ...,2016-06-22
122,2016학년도 2학기 복학신청 안내,2016-06-27
123,2016학년도 하계 방학중 단축근무,2016-06-28
124,2016학년도 2학기 예비군 편성신고 안내,2016-07-01
125,2016 정보보호 인력채용 박람회 ,2016-07-05
126,2016-2학기 전과 시행 안내 ,2016-07-06
127,2016년 국립중앙과학관 아이디어 클럽 모집 ,2016-07-08
128,[서울어코드]해외인턴 모집 안내 ,2016-07-12
129,[컴퓨터공학과]홈페이지 기자 모집 ,2016-07-13
130,2016년 2학기 송암문화재단 송암다문화장학금 신청 안내 ,2016-07-14
131,[공모전/미래창조과학부]당신의 아이디어를 지원합니다,2016-07-14
132,2016학년도 2학기 재입학 신청 안내 ,2016-07-14
133,공학교육인증 전문프로그램 신청 및 포기 안내 ,2016-07-19
134,2016-2학기 휴학신청 안내,2016-07-26
135,"오픈소스SW개발"과 "SW스타트업비즈니스"과목...,2016-08-02
136,2016학년도 2학기 국제캠퍼스 후마니타스칼리지 독립연구1 수...,2016-08-02
137,2015학년도 후기 학위수여식(2016년8월17일행사),2016-08-10
138,2016-2학기 등록기간 안내,2016-08-10
139,통학(셔틀)버스 신규 노선 및 운행시간 변경 안내,2016-08-11
140,'기부천사'모집 및 추천 재의뢰,2016-08-11
141,KIST 연수생 채용 안내,2016-08-25
142,2016학년도 컴퓨터공학과 신규과목 개설 안내 드립니다 ,2016-08-30
143,공학교육인증 전문프로그램 신청 및 포기안내,2016-09-01
144,[취업진로지원처]캠퍼스 리쿠루팅 안내,2016-09-02
145,제9회 경희대학교 컴퓨터공학과 가을 프로그래밍 경시대회,2016-09-05
146,2016년도 SST 하반기 지원 방법 ,2016-09-06
147,제6회 TOPCIT정기평가 단체접수 안내,2016-09-08
148,2016-2학기 푸른등대 기부장학사업(블리자드) 2차 신규장학생 ...,2016-09-12
149,2016-2학기 학점포기 신청 안내 ,2016-09-19
150,2016학년도 일주학술문화재단 장학생 선발 공고,2016-09-20
151,[장학] 제19기 미래에셋 해외 교환 장학생 선발 안내,2016-09-21
152,제122기 해군 사관후보생 모집안내(함정기술연구소 연구원),2016-09-26
153,[공지]2016학년도 2학기 진로상담 지도교수 배정 안내,2016-09-29
154,[장학]2017년도 대산농촌재단 장학생 선발공고,2016-09-30
155,2016-2학기 본전공/다전공/트랙 신청 및 포기 실시 안내,2016-10-04
156,2016-2학기 부전공 및 조기졸업신청서 접수 안내 ,2016-10-04
157,2016 우수 벤처기업 캠퍼스 리크루팅 페어 홍보 및 학생참여 ...,2016-10-05
158,[언어교육원]통역 및 번역과정 특강안내(설명회),2016-10-10
159,학생 및 학부모 관련 청탁금지법 질의 응답 사례 ,2016-10-10
160,2016년 국제캠퍼스 예비군 보충훈련 안내,2016-10-11
161,[장학] 2017학년도 아산사회복지재단 장학생 선발 안내 및 홍...,2016-10-12
