번호, 제목, 등록일
389,교내 안전관리 철저 협조 ,2017-12-28
390,[필독/중요]2018학년도 공학교육인증 전문프로그램 포기기간 ...,2017-12-29
391,2018학년도 1학기 예비군 편성신고 안내 ,2018-01-02
392,제1회 KISES 교육프로그램 참가자 모집 ,2018-01-02
393,2018학년도 1학기 외국인학생 도우미 모집 공고,2018-01-04
394,2018학년도 1학기 학자금대출 특별추천 안내,2018-01-09
395,2018학년도 1학기 재입학 신청 안내,2018-01-09
396,연구활동종사자 안전교육 시스템 개편에 따른 시스템 점검,2018-01-10
397,2018학년도 통합고시반 입반생 선발 공고,2018-01-15
398,2017학년도 전기 졸업사정 실시 안내,2018-01-16
399,2018학년도 1학기 휴학신청 안내,2018-01-19
400,[LINC+]창업교육센터 창업대체학점 인정 신청 안내,2018-01-25
401,[필독/수업]2018학년도 1학기 교강사 변경(웹/파이선프로그래...,2018-01-25
402,2017학년도 전기 학위수여식(졸업식) 안내(2018년2월13일),2018-01-26
403,[필독/중요]변경된 2018학년도 컴퓨터공학과 교육과정,2018-01-29
404,[필독/중요]2018-1 데이터베이스 수업시간 변경 및 파일처리 ...,2018-01-29
405,[필독/공지]2017-2학기 담임교수제[진로상담교수제] 미실시 학...,2018-02-05
406,2018학년도 1학기 등록 안내,2018-02-07
407,독립심화학습(Independent Learning & Research)제도 시행안내 ,2018-02-20
408,2018학년도 신입생 《신입생세미나 1 》 수강 관련 안내,2018-02-20
409,[LINC+]사회맞춤형 교육과정트랙 참여학생 사전조사,2018-02-21
410,2018-1학기 차량 운행 안내,2018-02-22
411,2018학년도 교양교육과정 변경사항 안내,2018-02-22
412,2018학년도 경희대학교 평생교육원 봄학기 수강생 모집 안내,2018-02-26
413,소프트웨어융합학과 다전공/부전공(SW융합교육)및 SW기초교...,2018-02-28
414,2018년 예비군훈련장 변경 사전 안내(공지),2018-03-05
415,2018-1학기 학점포기 신청 안내,2018-03-06
416,2018-1학기 신·편입생 경희형제·자매장학 및 경희동문장학 �...,2018-03-07
417,연구연수활동 교과목 개설,2018-03-07
418,Info21 2단계 및 Aladdin 구축 사업을 위한 구성원 의견수렴 설문...,2018-03-07
419,KHU SW GURU 선발 모집,2018-03-08
420,2018년 상반기 삼성소프트웨어트랙 지원 관련 개인정보활용...,2018-03-09
421,[LINC+]2018-1 캡스톤디자인 운영가이드북 ,2018-03-09
422,광교 경기문화창조허브 12회 TEC CONCERT(테크콘서트),2018-03-12
423,2018학년도 1학기 분할납부 안내(국제캠퍼스),2018-03-13
424,학적변동(휴학 자퇴 등)관련 신청서 양식,2018-03-13
425,제 406차 민방위의 날 화재 대피훈련 계획 통보,2018-03-15
426,교내 외벽 물청소 시행안내,2018-03-15
427,2018학년도 연구활동종사자 온라인 안전교육 실시 안내,2018-03-15
428,2018학년도 전자정보대학/소프트웨어융합대학 개별취업컨설...,2018-03-19
429,‘18 KHU-UCI I-SURP 모집안내,2018-03-21
430,‘18 K-SW 스퀘어 여름 프로그램 모집안내,2018-03-21
431,2018 Global Collaborative Summer Program,2018-03-27
432,2018-1학기 진로상담교수제 안내 ,2018-03-28
433,2018-1학기 다전공/트랙 신청 및 포기 안내 ,2018-03-28
434,2018 KYUNG HEE GSP Forum ,2018-04-03
435,2018학년도 1학기 부전공 및 조기졸업 신청안내,2018-04-03
436,[LINC+]사업단 홈페이지 및 동영상,2018-04-04
437,국가우수장학(이공계) 재학중우수자(2년지원)유형 선발 안내,2018-04-13
438,[NAVER D2 Startup Factory] 인공지능(AI) 기술 스타트업 투자 및 지...,2018-04-17
439,국제캠퍼스 사회봉사 학점인정에 관한 업무 이관 안내,2018-04-18
440,2017학년도 후기(2018.08월) 졸업예정 교직이수자 대상 무시험...,2018-04-19
441,실리콘밸리 해외탐방 프로그램 ,2018-04-20
442,2018학년도 하계 국제화연수단 참가자 모집 ,2018-04-30
443,"영어강좌 의무이수제" 관련 전공과목 인정범위 안내...,2018-05-01
444,[공지]매트랩 프로그램이 설치된 실험실,2018-05-02
445,2018학년도 1학기 장학팀 우정장학금 신청 안내,2018-05-02
446,SW중심대학사업단 홈페이지 홍보,2018-05-02
447,KIST Europe 해외 인턴십 모집,2018-05-03
448,K-SW 스퀘어 가을 프로그램,2018-05-03
449,제 12회 KHU 봄 프로그래밍 경시대회,2018-05-04
450,2018학년도 하계 해외 전공연수 프로그램 신청 안내,2018-05-04
451,통학(셔틀)버스 운행시간 개편 안내,2018-05-09
452,2018학년도 1학기 International Day ,2018-05-10
453,모교선배와 함께하는 현대·기아자동차 Dreaming R&D TOUR (~5월 ...,2018-05-11
454,5월 18일(금) 경희대학교 개교기념일에 따른 휴강 안내,2018-05-14
455,소프트웨어융합대학 전공설명회 ,2018-05-15
456,2018-1학기 졸업능력인증 신청(대체/면제) 접수 안내,2018-05-16
457,2018-2학기 국가장학금 1차 신청 안내,2018-05-23
458,2018년 KHU 봄 프로그래밍 경시대회 결과 ,2018-05-28
459,문자메세지(SMS) 발송서비스 중단 안내 ,2018-05-28
460,LINC+사업단 페이스북 이벤트 ,2018-05-29
461,2018학년도 1학기 연구활동종사자 온라인 안전교육 이수 재공...,2018-05-29
462,[중요]편제변경에 따른 2018학년도 1학기 복학생 동의관련 안...,2018-06-01
463,[네이버] 데이터 과학 페스티벌 ‘Data Science Competition 2018’ ...,2018-06-04
464, POSCO Steel Bridge(대학생 현장실습 프로그램) ,2018-06-05
465,2018-1학기 담임교수제(진로상담교수제-CCP) 시행 안내,2018-06-07
466,[삼성전자]빅데이터 전문인력 양성(전문가 과정),2018-06-08
467,2018-1학기 기초교과(기초교양핵심교양) 이수면제 신청 안내,2018-06-08
468,2018학년도 2학기 수강희망과목담기 안내,2018-06-11
469,[LINC+사무국]2018 캡스톤디자인 경진대회 시행 안내,2018-06-11
470,[필독]컴퓨터공학과 2018년 신입생 수강신청 가능학점 관련 ...,2018-06-14
471,[필독]2018학년도 하계 계절학기 객체지향프로그래밍 수강 안...,2018-06-14
472,2018 경희대학교 SW페스티벌 작품 모집,2018-06-15
473,[GSC] '생명공감 캠퍼스 추진: 길고양이 돌봄사업',2018-06-18
474,LINC+사업단 2018년도 학생지원 프로그램 ,2018-06-22
475,2018학년도 2학기 교내장학금 신청안내,2018-06-27
476,2018학년도 2학기 복학신청 안내 ,2018-07-03
477,KAKAO CODE FESTIVAL 프로그래밍 경진대회(~8.2 오후6시),2018-07-03
478,[LINC+] 2018년 상반기 현장실습 수기 공모전 시행 안내,2018-07-04
479,2018- 2학기 재입학 시행안내,2018-07-09
480,2018학년도 경희 Fellow(교육) 신청 안내,2018-07-09
481,2018학년도 2학기 예비군 편성신고 안내,2018-07-09
482,전자정보/응용과학대학 구관 승강기 교체 공사 안내,2018-07-12
483,2017학년도 후기 졸업사정 결과 확인 안내,2018-07-16
484,2018학년도 2학기 휴학신청 안내,2018-07-18
485,[경희대 평생교육원]2018-가을학기 평생교육원 수강안내,2018-07-25
486,[중요/필독] 컴퓨터공학과 선수과목 관련 안내,2018-07-25
487,2018학년도 2학기 학자금 대출 특별추천 안내,2018-07-27
488,<2018학년도 공학교육인증 전문프로그램 신청 및 포기 안내...,2018-07-31
489,[수업/공지] 캡스톤디자인12 강의 안내 ,2018-08-06
490,[삼성전기] 제14회 삼성전기 논문대상 개최 안내,2018-08-06
491,[수업/공지] 오픈소스SW개발 강의시간변경안내,2018-08-06
492,2017학년도 후기(2018.8월) 학위수여식 안내,2018-08-16
493,[소프트웨어융합대학]2018-2학기 행정실 근로학생 모집 ,2018-08-17
494,[필독/공지] 2018-1학기 담임교수제(진로상담교수제) 안내,2018-08-17
495,[필독/수업] 캡스톤디자인12 수업 관련 안내,2018-08-28
496,<2018학년도 공학교육인증 전문프로그램 포기 안내>,2018-08-30
497,[공지/안내]2018년도 국제캠퍼스 대학직장예비군 기본훈련 안...,2018-09-03
498,[공지/강의]2018-2학기 연구연수활동 교과목 개설,2018-09-04
499,[공지/필독] 캡스톤디자인1 지도교수배정,2018-09-05
500,[공지/안내] 2018-2학기 학점포기 신청 안내,2018-09-05
501,[공지/안내] 2018년도 2학기 연구활동종사자 온라인 안전교육 ...,2018-09-05
502,[공지/안내] 캡스톤디자인2 지도교수 배정,2018-09-05
503,[공지/안내] 2018학년도 2학기 SW융합장학금 신청 안내,2018-09-05
504,[필독/강의] 컴퓨터구조(박영태교수님) 강의실 변경안내,2018-09-06
505,[필독/강의] 컴퓨터구조(정연모교수님) 강의실 변경 안내,2018-09-06
506,감염병 위기단계 '주의'발령 알림,2018-09-12
507,제408차 민방위의 날 지진대피 훈련 계획 알림,2018-09-12
508,추석 대체공휴일 안내,2018-09-12
509,제 13회 KHU 가을 프로그래밍 경시대회 신청서 접수,2018-09-13
510,[공지/안내] 2018학년도 2학기 다전공/트랙 신청 및 포기 안내,2018-09-18
511,공학교육혁신센터 직업기초능력평가 실시,2018-09-19
512,명절 연휴기간 위험시설 및 연구(실험)실 안전관리 철저 요...,2018-09-20
513,[필독/공지] 2018-2학기 담임교수제[진로상담교수제(CCP)] 시행 ...,2018-09-20
514,디지털 과거 Code+ 경연대회,2018-09-20
515,2018학년도 전기 예비졸업사정 실시,2018-10-02
516,건물공사로 인한 부분정전 안내,2018-10-02
517,LINC+사업단 2018년 2학기 학생지원 프로그램 설명회,2018-10-04
518,국제대학원 외부 입시설명회『2018 KYUNG HEE GSP Forum』,2018-10-04
519,2018학년도 총학생회와 함께하는 Career Festival,2018-10-05
520,2018학년도 가을 대동제 실시 안내,2018-10-05
521,2018학년도 졸업앨범 사진 촬영 관련 안내,2018-10-05
522,2018학년도 2학기 부전공 및 조기졸업 신청안내,2018-10-05
523,건물 냉/난방용 팬코일유닛(FCU)필터 청소 작업,2018-10-05
524,대학평가 지표에 대한 구성원 인식 조사 실시 안내,2018-10-08
525,Info21(1단계) 전담 콜센터 운영 변경 안내,2018-10-08
526,2018 SW페스티벌 전시 작품 모집,2018-10-10
527, 2018 가을 프로그래밍 경시대회 결과 안내,2018-10-10
528,2018학년도 2학기 기관토플 실시 안내(2018년 9월 ~ 2019년 2월),2018-10-11
529,2018 아름다운&경희 청춘 나눔 마켓 바자회 안내,2018-10-15
530,2018학년도 동계 계절학기 개설 안내 ,2018-10-15
531,LINC+사업단 2018년 2학기 학생지원 프로그램 안내,2018-10-16
532,2018년 국제캠퍼스 대학직장예비군 보충훈련 공고   ,2018-10-19
533,[LINC+] 2018 창업동아리 등록지원제 시행,2018-10-19
534,[LINC+] 2018학년도 2학기 캡스톤디자인 경진대회,2018-11-01
535,2018년도 동계 해외전공연수프로그램 신청 안내,2018-11-01
536,코딩역량 테스트 & 전공마일리지 제도 안내,2018-11-05
537,산업수학 후속세대 문제해결 트레이닝 행사 안내,2018-11-05
538,공학교육인증 전문프로그램 신청 및 포기 안내,2018-11-06
539,2018학년도 동계 국제화연수단 참가자 모집,2018-11-08
540,[도로교통공단]자율주행 등 4차 산업혁명 관련 기술을 활용...,2018-11-14
541,외교톡톡 in 경기(외교관과의 대화) 안내,2018-11-14
542,2019-1학기 국가장학금 1차 신청 안내,2018-11-20
543,2018-2학기 장학팀장학사정관제장학 신청안내,2018-11-20
544,2018-2학기 졸업능력인증 신청(대체/면제) 접수 안내,2018-11-21
545,[LINC+] 스타트업 동문 CEO Talk Show 개최안내,2018-11-22
546,2018 소프트웨어 우수 동아리 지원 프로그램,2018-11-23
547,2018 미니해커톤 제3회 공개SW 커뮤니티데이 ( ~ 11.28까지),2018-11-23
548,[GSC] 2018-2 교내 사회봉사 동아리 간담회 진행 안내 ,2018-11-30
549,2019학년도 2학기 해외 파견 교환학생 설명회 안내,2018-11-30
550,2019학년도 1학기 교내장학금 신청 안내,2018-11-30
551,2018학년도 2학기 연구활동종사자 온라인 안전교육 이수 안내,2018-12-04
552,Magnolia 2018(목련회의 목련음악회) 행사 안내,2018-12-06
553,2018학년도 실기B장학(단대우수학술장학)신청 안내,2018-12-11
554,메일&푸시(push) 수신동의 방법 안내,2018-12-11
555,2018학년도 2학기 강의평가 실시 안내,2018-12-12
556,'4차 산업혁명 글로벌 정책 컨퍼런스' 행사 참석 안내,2018-12-12
557,[GSC] 2018-2 교내 사회봉사 동아리 지원 사업 안내 ,2018-12-17
558,19년도 학군사관후보생 모집안내,2018-12-18
559,2018학년도 겨울방학 선승관 웨이트 트레이닝 이용안내,2018-12-19
560,[대학원(국제)] 2019학년도 전기 정원내 수시모집 안내,2018-12-24
561,2019-1학기 전과 시행 안내,2019-01-03
562,국제교육원 동계 LEAP 2차 프로그램 안내,2019-01-07
563,2019학년도 1학기 예비군 편성신고 안내,2019-01-07
564,2019-1학기 복학 시행 안내,2019-01-07
565,글로벌 기술창업 프로그램 Tough Tech 해커톤 참가자 모집 안내,2019-01-10
566,2019-1학기 수강희망과목담기 안내,2019-01-14
567,2019학년도 1학기 재입학 신청 안내,2019-01-14
568,2019학년도 1학기 외국인학생 도우미 모집 공고 안내,2019-01-23
569,2019학년도 2학기 해외파견 교환학생 후보자 모집 안내,2019-01-23
570,2019학년도 2학기 영어권/일본어권 교환학생 설명회 안내,2019-01-23
571,2019-1학기 휴학 신청 안내,2019-01-23
572,2018학년도 전기(2019.2월) 학위수여식 안내,2019-01-25
573,2018학년도 전기 졸업사정 결과 확인 안내,2019-01-25
574,2019-1학기 등록기간 안내,2019-01-28
575,[LINC+] 2019학년도 1학기 창업준비휴학 및 창업휴학 신청안내,2019-01-31
576,[LINC+] 2019학년도 1학기 창업대체학점(창업실습 창업현장실...,2019-01-31
577,[안내] 명절 연휴기간 안전관리 철저 요청,2019-01-31
578,2019학년도 교육과정 안내,2019-02-01
579,군복무중 학점취득 제도 시행 안내 및 2019-1학기 학점취득을 ...,2019-02-08
580,2019년도 봄학기 평생교육원 평생교육과정 안내,2019-02-08
581,2019학년도 공학교육인증 전문프로그램 신청 및 포기 기간 안...,2019-02-12
582,[공지] 수강신청 정정기간 내 마감강좌 추가 수강신청 관련 ...,2019-02-12
583,2019-2학기 유럽어권/중국어권 파견 교환학생 설명회 안내,2019-02-15
584,2019년도 상반기 ICT 학점연계 프로젝트 인턴십 국내과정 운영...,2019-02-15
585,해군 제127기 사관후보생 모집안내(정보통신 병과),2019-02-18
586,[소프트웨어융합대학] 2019년 1학기 근로학생 모집,2019-02-19
587,2019학년도 1학기 독립심화학습 신청 공고,2019-02-21
588,[WISET] 글로벌 기업 Bloomberg 멘토링 프로그램에 참여할 대학(...,2019-02-22
589,신학년·신학기 학생정보 수집 등 개인정보 처리 유의사항�...,2019-02-25
590,[공지]조기취업자 출석인정에 관한 시행세칙,2019-02-25
591,[GSC] 사회봉사 교과목 학점인정 및 봉사실적등록 관련 안내...,2019-02-26
592,연구연수활동 교과목 개설 안내,2019-03-07
593,2019-1학기 학점포기 신청 안내,2019-03-11
594,재수강 제도 개정 안내,2019-03-11
595,KHU SW GURU 선발 모집 안내,2019-03-12
596,2019년도 국제캠퍼스 대학직장예비군 기본훈련 안내,2019-03-13
597,[소프트웨어융합대학] 2019년 1학기 근로학생 모집안내,2019-03-13
598,[안내] 2019 1인1멘토 평생멘토링 모집안내,2019-03-14
599,[안내] 2019학년도 연구활동종사자 온라인 안전교육 실시 안...,2019-03-18
600,2019학년도 1학기 다전공/트랙 이수 신청 및 포기 안내,2019-03-20
601,[컴퓨터공학과 장학]컴퓨터공학과 이민영장학회 장학생 선...,2019-03-21
602,[공지] 컴퓨터공학과 졸업요건 안내,2019-03-25
603,[안내] 「수능이후 학사운영 내실화 방안」 마련을 위한 재...,2019-03-27
604,[안내] 2018학년도 후기 졸업사정대상자 예비졸업사정 시행 ...,2019-03-28
605,2019-1학기 부전공 및 조기졸업 신청서 접수 안내,2019-03-28
606,[콘티넨탈] 제4회 콘티넨탈 오토모티브 자동차 기술 공모전,2019-04-01
607,[프로그래머스] 2019 앱개발자 온라인 잡페어 안내 ,2019-04-01
608,[장학]2019학년도 국가우수장학(이공계) 재학중우수자(2년지...,2019-04-03
609,2019학년도 1학기 기관토플 실시 안내,2019-04-04
610,국제교육원 2019학년도 봄2차 외국어강좌 안내,2019-04-15
611,2019학년도 여름학기 단기현장실습 안내,2019-04-15
612,강원도 산불피해 긴급구호 모금캠페인 안내,2019-04-16
613,KH정보교육원 채용연계 및 확정형 국비과정 안내,2019-04-18
614,2019년도 국제캠퍼스 대학직장예비군 기본훈련 안내,2019-04-18
615,시험기간 편의점 운영시간 안내,2019-04-19
616,경희대학교 개교 70주년 안내,2019-04-22
617,2019학년도 하계 해외 전공연수 프로그램 신청 안내,2019-04-26
618,[경희대 LINC+사업단] 2019-1학기 캡스톤디자인 지원금 신청안...,2019-05-03
619,[경희대 LINC+사업단] 2019-1학기 창업동아리 모집 안내,2019-05-03
620,[경희대 LINC+사업단] 2019년 산학공동기술개발과제 수요조사 ...,2019-05-03
621,제14회 KHU 봄 프로그래밍 경시대회 신청서 접수안내,2019-05-07
622,[현장실습지원센터] 2019 SK 하이닉스 여름학기 단기현장실습 ...,2019-05-07
623,2019학년도 하계 해외전공연수 합격자 발표,2019-05-07
624,[안내] 사고사례 전파(전자정보/응용과학대학관 3층 테라스),2019-05-09
625,[안내] 소프트웨어융합학과 학부생 세미나 ,2019-05-14
626,2020학년도 1학기 해외 파견 교환학생 설명회 안내,2019-05-14
627,2018학년도 후기 교원자격 무시험검정원서 신청안내,2019-05-17
628,대학(원)생 대상 2019 오픈 인프라 개발 경진대회 (~5/31),2019-05-20
629,[안내] 2019-2학기 국가장학금 1차 신청 안내,2019-05-21
630,LINC+사업단 2019년 1학기 학생지원 프로그램 안내,2019-05-27
631,LINC+사업단 2019년 1학기 경희 청년 해외개척단 참여학생 모집...,2019-05-27
632,2019학년도 학사일정 변경 안내 ,2019-05-27
633,2019학년도 2학기 교내장학금 신청 안내,2019-05-27
634,2019학년도 여름학기 언어교육원 외국어과정 안내,2019-05-27
635, 아프리카돼지열병 국내유입 예방 수칙 홍보 ,2019-05-27
636,2019학년도 1학기 성적 열람 및 공시(정정)기간 안내,2019-05-28
637,2019학년도 1학기 강의평가 실시 안내,2019-05-28
638,교직과정 포기신청 절차 변경 안내,2019-05-29
639,[학생지원센터(장학)] 2019-1학기 장학사정관제장학 신청 안내,2019-05-29
640,2019학년도 1학기 졸업능력인증제도 신청안내,2019-05-30
641,2019년 서울형 여행바우처 지원 사업 안내,2019-06-03
642,Peace BAR Festival 2019 영문슬로건 공모전 참여 안내 ,2019-06-03
643,국제교육원 2019학년도 여름 LEAP 프로그램 안내,2019-06-03
644,[한국토지주택공사] 19년 청년 전세임대 홍보 안내,2019-06-04
645,국제캠퍼스 전체 정전 안내,2019-06-04
646,미래인재센터 1:1 진로·취업 상담 프로그램 안내,2019-06-05
647, 2019-1학기 담임교수제(진로상담교수제) 안내,2019-06-05
648,[중요] 소프트웨어융합대학 각종 홍보 및 공지 방법 안내,2019-06-07
649,2019년도 국회 대학(원)생 아카데미(2차) 실시 안내,2019-06-07
650,소프트웨어융합대학 행정실 근로학생 모집안내(마감),2019-06-07
651,2019 아그위그(I Green We Green) 캠페인 참여 안내 ,2019-06-10
652,2019학년도 여름 3차 외국어강좌 안내,2019-06-11
653,제6회 GSDC 데이터 컴퓨팅 스쿨 참가 안내,2019-06-11
654,2019학년도 1학기 필수교과(기초교과) 이수면제 신청 안내,2019-06-11
655,[학생지원센터(장학)]2019학년도 미래혁신인재 장학 신청 안...,2019-06-11
656,[LINC+] 수원시 지속가능한 스마트시티 리빙랩 아이디어 경진...,2019-06-12
657,[학생지원센터(장학)]2019-1학기 마일리지장학 신청 안내,2019-06-12
658,국내 기차여행『하계 내일로패스』운영안내,2019-06-12
659,2019년 성동청소년수련관 유스데이 "푸드&수채화 일러스...,2019-06-12
660,제7회 바이오아트 공모전 안내,2019-06-12
661,'학생 진로탄력성 콘텐츠 공모전' 관련 변경 사항 안내,2019-06-14
662,[LINC+] KHU Valley Program 2기 참여학생 모집 안내 ,2019-06-17
663,[LINC+] KHUGLE Lab Program(대학원생 기술창업지원프로그램) 참여...,2019-06-17
664,2019 하계 방중 제2기숙사 학생식당 운영 이용 안내,2019-06-17
665,성희롱·성폭력 근절 인식개선 공모전 안내,2019-06-17
666,2019 대학생 자치입법 정책 아이디어 공모,2019-06-17
667,제17회 태안 국제 모래조각 페스티벌 참여 안내,2019-06-19
668,학교경영자 배상책임보험 안내문,2019-06-19
669,「정부혁신 제안 해커톤 함께 잇고 짓다」 안내,2019-06-19
670,[안전신문고」웹툰,2019-06-24
671,2019년 상반기 클라우드 시스템 신입 전문가 모집,2019-06-24
672,2019학년도 하계 미래인재센터 취업 교육프로그램 안내 ,2019-06-25
673,2019 NTIS 정보활용경진대회 안내,2019-06-25
674,2019학년도 2학기 복학신청 안내,2019-06-25
675,전자정보대학관 금연/흡연 구역 지정안내,2019-06-25
676,[다우기술] SW 장학생 모집 안내,2019-06-26
677,[SW중심대학사업단] Start up the Dream 참여 안내 ,2019-06-27
678,2019학년도 2학기 전과 모집요강,2019-06-28
679,2019-2학기 장기현장실습 안내,2019-07-02
680,[2019년도 하반기 ICT 학점연계 프로젝트 인턴십 국내과정 운...,2019-07-05
681,2019학년도 2학기 예비군 편성신고 안내,2019-07-05
682,2019학년도 2학기 수강희망과목담기 안내,2019-07-05
683,2018학년도 후기 졸업사정 결과 확인 안내,2019-07-08
684,2019학년도 하계 방학 중 단축근무 안내,2019-07-08
685,2019학년도 학사(수강신청)일정 변경 안내 [Eco-Friendly Campus Week...,2019-07-10
686,2019학년도 2학기 창업(준비)휴학 신청안내,2019-07-11
687,창업(현장)실습·창업대체학점 신청 공고,2019-07-11
688,2019-2학기 재입학 시행 안내,2019-07-11
689,2019학년도 2학기 휴학신청 안내,2019-07-12
690,[안내] 졸업대상자 졸업사정 및 3-4학년 수강신청을 위한 졸...,2019-07-16
691,[한국CBMC] 청년스타트업 투자대회 안내,2019-07-19
692,수강신청 희과담 로그인 에러관련,2019-07-19
693,2019학년도 2학기 등록 안내 ,2019-07-19
694,[공지] 수강신청 정정기간 내 마감강좌 추가 수강신청 관련 ...,2019-08-06
695,[공지] 소프트웨어융합대학 다전공 부전공이수를 위한 수강...,2019-08-07
696,2018학년도 후기(2019.8월) 학위수여식 안내,2019-08-19
697,2019학년도 가을4차 외국어강좌 개설안내,2019-08-21
698,2019 대학생 자치입법 정책 아이디어 공고 안내,2019-08-22
699, 소프트웨어융합대학 행정실 근로학생 모집안내,2019-08-22
700,2019 KHU 취업박람회 개최 안내,2019-08-27
701,제15회 KHU 가을 프로그래밍 경시대회 안내,2019-09-03
702,2019학년도 2학기 학점포기 신청 안내,2019-09-05
703,추석 연휴기간 국제 생활관(제2기숙사 우정원) 식당운영 안...,2019-09-06
704,[LINC+] 2019학년도 2학기 경희대학교 창업동아리 등록지원제 ...,2019-09-06
705,2019학년도 하반기 '동문 멘토와 함께하는 Job Festival',2019-09-06
706,[중요] 태풍으로 인한 구관현관 이용안내,2019-09-08
707,인포21(2단계) 서비스 개시 및 사용자교육 안내,2019-09-10
708,2019년 2학기 기관토플 시행 안내,2019-09-10
709,교내 부분(급수)단수 실시 안내,2019-09-16
710,KHU-SWShip (대외 공모전 SW프로젝트 지원 프로그램) 프로젝트 ...,2019-09-19
711,2019학년도 2학기 다전공/트랙 이수 신청 및 포기 안내,2019-09-20
712,[네이버] CAMPUS HACKDAY 2019 WINTER [네이버 개발자와 함께하는 해...,2019-09-23
713,2019학년도 가을 대동제 실시 안내,2019-09-26
714,에스엘(주) 미래기술 프로젝트 제안 및 대학생 아이디어 공...,2019-09-27
715,KHU SW FESTIVAL 전시작품 모집,2019-09-27
716,[원익] 2019년 원익 대졸 공채 (~10/15),2019-10-01
717,인포21(2단계) 학사행정시스템 개통에 따른 학사행정 주요 변...,2019-10-02
718,2019년 국제캠퍼스 대학직장예비군 보충훈련 공고 ,2019-10-02
719,2019학년도 2학기 부전공 및 조기졸업 신청안내,2019-10-04
720,2019학년도 전기 예비졸업사정 일정 재조정 안내,2019-10-04
721, [미래인재센터] 2019 하반기 공채대비 면접스킬마스터 프로...,2019-10-07
722,경희대학교 SW해커톤 (khuthon 2019) 접수 안내,2019-10-07
723,[공지] 소프트웨어융합대학 각종 홍보 및 공지 방법 안내_경...,2019-10-10
724,2019학년도 가을 5차 외국어강좌 안내,2019-10-17
725,빛가람 국제 전력기술 엑스포「BIXPO 2019」안내,2019-10-18
726,인포21(2단계) 군입대휴학 신청 안내,2019-10-25
727,2019 소프트웨어 우수동아리 지원 프로그램 접수 안내,2019-10-30
728,소프트웨어융합대학 토익지원금제도 폐지 안내(교내 마일리...,2019-11-04
729,개교 70주년 기념 '경희 Story' 공모전 안내 ,2019-11-04
730,2019학년도 전기 졸업사정 대상자 예비졸업사정 일정조정 안...,2019-11-04
731,LINC+] KVP 창업 CEO Talk Show(1차 2차) 안내,2019-11-04
732,온.오프라인 학습법 특강 '나를 효과적으로 표현하는 퍼...,2019-11-04
733,2019-동계 해외전공연수프로그램 신청안내,2019-11-04
734,2019 총학생회와 함께하는 Career Design Festival 개최,2019-11-05
735,[LINC+] 2019학년도 창업멘토링 시행 안내,2019-11-06
736,기술로 꿈을 꾸다 - 실리콘밸리에서 바라본 AI & Future Technology...,2019-11-07
737,2019 SW페스티벌 행사 참가 안내,2019-11-08
738,개교 70주년 기념 latte 영상 공모전 개최 안내,2019-11-11
739,[미래인재센터] 2019학년도 하반기 '명사특강 시리즈',2019-11-11
740,2019년 구성원 만족도 및 긍지 조사 실시 안내,2019-11-11
741,2019년 한솔그룹 이공계 초청행사 안내,2019-11-12
742,개인정보 처리 '제공' 부분 안내,2019-11-13
743,2019학년도 11월 진행 미래인재센터 비교과 프로그램 안내,2019-11-18
744,[학생지원센터(장학)] 2019-2학기 장학사정관제장학 신청 안내,2019-11-18
745,2019-2학기 졸업능력인증제도 신청안내,2019-11-18
746,[LINC+] 경희 청년 해외개척단(Global AFRO!)2탄 - CES 파견안내,2019-11-21
747,2020학년도 2학기 해외 파견 교환학생 설명회 안내,2019-11-21
748,동절기 안전관리 철저 요청,2019-11-25
749,2019학년도 학사일정 변경 안내,2019-12-05
750,[LINC+] 2019학년도 2학기 캡스톤디자인 경진대회 안내,2019-12-10
751,2020학년도 학사일정 안내,2019-12-27
752,2020학년도 1학기 교내장학금 신청 안내,2019-12-27
753,2020년도 국회 대학(원)생 아카데미(1차) 실시 안내,2020-01-09
754,2019학년도 공학교육인증 전문프로그램 신청 및 포기기간 변...,2020-01-09
755,2020학년도 1학기 수강희망과목담기 안내,2020-01-09
756,2020-1학기 복학 시행 안내,2020-01-10
757,2020학년도 후마니타스칼리지 교양 교육 과정 변경 및 수강 ...,2020-01-10
758,2019-2학기 창업(준비)휴학 신청 안내,2020-01-10
759,2020학년도 1학기 전과 시행안내,2020-01-10
760,2020학년도 교육과정 안내,2020-01-20
761,2020학년도 1학기 휴학신청 안내,2020-01-20
762,2019학년도 전기 졸업사정 결과 확인 안내,2020-01-20
763,2020년도 영양학사 입사생 선발 공고,2020-01-20
764,[안내] 소프트웨어융합대학 "우수장학(성적장학)" 을 ...,2020-02-05
765,[안내] 2020학년도 1학기 개강일 변경 안내 : 2020.03.16.(월) 개강,2020-02-10
766,[안내] 신종 코로나 바이러스 관련 장소사용 불허 및 출입통...,2020-02-10
767,[안내] 2019학년도 전기(2020.2월) 학위수여식 미시행 안내(국제...,2020-02-11
768,[소프트웨어융합대학] 2020년 1학기 근로학생 모집 ,2020-02-13
769,2020학년도 1학기 창업동아리 및 학생 창업기업 입주 모집 안...,2020-02-14
770,신종 코로나 바이러스 관련 장소사용 불허 안내 ,2020-02-14
771,2020-1학기 등록기간 안내,2020-02-17
772,신종코로나바이러스감염증 학교 대응 매뉴얼 안내,2020-02-19
